,Entity,Code,Year,"Tertiary education for those aged 15+ (proportion), 1970-2050 (IIASA (2015))"
10,Argentina,ARG,2020,14.0340089
27,Armenia,ARM,2020,24.19773908
44,Australia,AUS,2020,27.96245962
61,Austria,AUT,2020,14.80913231
78,Bahamas,BHS,2020,22.80299135
95,Bahrain,BHR,2020,14.45461706
112,Bangladesh,BGD,2020,14.70523242
129,Belgium,BEL,2020,31.09935878
146,Belize,BLZ,2020,14.47789789
163,Benin,BEN,2020,3.47802277
180,Bolivia,BOL,2020,22.3916509
197,Brazil,BRA,2020,8.780421938
214,Bulgaria,BGR,2020,23.25405966
231,Burkina Faso,BFA,2020,2.900565247
248,Cambodia,KHM,2020,1.961849432
265,Cameroon,CMR,2020,6.442970183
282,Canada,CAN,2020,39.16034307
299,Central African Republic,CAF,2020,3.7001809889999997
316,Chad,TCD,2020,1.5500507319999999
333,Chile,CHL,2020,29.25581351
350,China,CHN,2020,7.797640395
367,Colombia,COL,2020,18.644955
383,Comoros,COM,2020,5.74803557
400,Costa Rica,CRI,2020,20.47826256
417,Cote d'Ivoire,CIV,2020,5.859060167999999
434,Croatia,HRV,2020,11.92591099
451,Cuba,CUB,2020,11.07798531
468,Cyprus,CYP,2020,19.13097955
485,Czechia,CZE,2020,13.07334442
502,Denmark,DNK,2020,24.94138227
519,Dominican Republic,DOM,2020,23.46018038
536,Ecuador,ECU,2020,21.31130617
553,Egypt,EGY,2020,18.66071305
570,El Salvador,SLV,2020,15.94966082
587,Eritrea,ERI,2020,7.293656147999999
604,Estonia,EST,2020,19.52933387
621,Ethiopia,ETH,2020,2.069581091
638,Finland,FIN,2020,34.6863378
655,France,FRA,2020,28.855389199999998
672,Gabon,GAB,2020,9.895424025
689,Germany,DEU,2020,23.07854274
706,Ghana,GHA,2020,6.6877881320000006
723,Greece,GRC,2020,21.05904718
740,Guatemala,GTM,2020,7.997272915
757,Guinea,GIN,2020,4.744937307
774,Guyana,GUY,2020,11.00036212
791,Haiti,HTI,2020,4.932767557
808,Honduras,HND,2020,7.977643327999999
825,Hong Kong,HKG,2020,25.60100654
842,Hungary,HUN,2020,15.70004748
859,India,IND,2020,9.445015386
876,Indonesia,IDN,2020,10.33303626
893,Iran,IRN,2020,13.6287076
910,Ireland,IRL,2020,33.031824699999994
927,Italy,ITA,2020,12.17394503
944,Japan,JPN,2020,38.11831484
961,Jordan,JOR,2020,2.2617038380000003
978,Kazakhstan,KAZ,2020,21.36876839
995,Kenya,KEN,2020,10.47628028
1012,Kyrgyzstan,KGZ,2020,20.40578449
1029,Laos,LAO,2020,13.06925223
1046,Latvia,LVA,2020,20.26577116
1063,Lithuania,LTU,2020,19.30967549
1080,Luxembourg,LUX,2020,19.88723014
1097,Macao,MAC,2020,16.205384699999996
1114,Madagascar,MDG,2020,3.8357917360000005
1131,Malawi,MWI,2020,1.045858013
1148,Malaysia,MYS,2020,17.46202612
1163,Maldives,MDV,2020,2.62214971
1180,Mali,MLI,2020,2.817498674
1197,Malta,MLT,2020,14.27038579
1214,Mauritania,MRT,2020,5.788585198
1231,Mauritius,MUS,2020,3.7373965410000003
1248,Mexico,MEX,2020,15.935379500000002
1265,Mongolia,MNG,2020,25.04760092
1282,Morocco,MAR,2020,9.988914649
1299,Mozambique,MOZ,2020,1.0811571690000001
1316,Myanmar,MMR,2020,8.546264761
1333,Namibia,NAM,2020,4.679537466
1350,Nepal,NPL,2020,7.885972902000001
1367,Netherlands,NLD,2020,23.40875325
1384,New Zealand,NZL,2020,27.56569017
1401,Nicaragua,NIC,2020,16.40046178
1418,Niger,NER,2020,1.957063101
1435,Nigeria,NGA,2020,12.233156300000001
1452,North Macedonia,MKD,2020,13.28316466
1469,Norway,NOR,2020,29.32205292
1486,Pakistan,PAK,2020,8.931863798
1503,Panama,PAN,2020,21.96756425
1520,Paraguay,PRY,2020,16.64953734
1537,Peru,PER,2020,15.57307784
1554,Philippines,PHL,2020,26.64283698
1571,Poland,POL,2020,17.7296766
1588,Portugal,PRT,2020,20.55286367
1605,Romania,ROU,2020,11.7488843
1622,Russia,RUS,2020,26.86390089
1639,Rwanda,RWA,2020,1.575744147
1656,Saudi Arabia,SAU,2020,13.75321135
1673,Singapore,SGP,2020,33.05412306
1690,Slovakia,SVK,2020,14.77711663
1707,Slovenia,SVN,2020,19.18155391
1724,South Africa,ZAF,2020,11.35948842
1741,South Korea,KOR,2020,33.98050334
1758,Spain,ESP,2020,11.06571463
1775,Sri Lanka,LKA,2020,19.73211035
1792,Sweden,SWE,2020,24.56914122
1809,Switzerland,CHE,2020,23.08009262
1826,Syria,SYR,2020,5.97856753
1843,Tajikistan,TJK,2020,11.67462215
1860,Tanzania,TZA,2020,1.514281555
1877,Thailand,THA,2020,18.32102442
1894,Togo,TGO,2020,2.73296596
1911,Turkey,TUR,2020,10.83548411
1928,Turkmenistan,TKM,2020,15.81723058
1945,Uganda,UGA,2020,7.253447436
1962,Ukraine,UKR,2020,20.23216039
1979,United Kingdom,GBR,2020,27.750559600000003
1996,United States,USA,2020,27.01490354
2013,Uruguay,URY,2020,6.522740889
2030,Uzbekistan,UZB,2020,19.54564046
2047,Vietnam,VNM,2020,6.345064617
2064,Zambia,ZMB,2020,7.280779623
2081,Zimbabwe,ZWE,2020,8.862740066
